ngram,count,type
साखर कारखाना,14,bigram
शिवाजी महाराजांच्या,14,bigram
मूळ पानापासून,14,bigram
दुसऱ्या दिवशी,14,bigram
नाही आणि,14,bigram
तुकाराम महाराज,14,bigram
आला होता,14,bigram
मोठ्या प्रमाणावर,14,bigram
आणखी एक,14,bigram
सुरू केली,14,bigram
विरोध केला,13,bigram
याच काळात,13,bigram
जात असे,13,bigram
आले आणि,13,bigram
आणि ती,13,bigram
जाऊ शकते,13,bigram
तर ते,13,bigram
नाही हे,13,bigram
दिला जातो,13,bigram
भारतीय संस्कृती,13,bigram
आंबेडकर यांनी,13,bigram
दिले होते,13,bigram
जात नाही,13,bigram
करत आहेत,13,bigram
राजेंद्र कदम,13,bigram
खेळ आहे,13,bigram
च्या दशकात,13,bigram
यांचा समावेश,13,bigram
सुरुवात झाली,13,bigram
काय आहे,13,bigram
केले जातात,13,bigram
असे मानले जाते,13,trigram
पुरस्कार मिळाला,13,bigram
करू शकतो,12,bigram
संशोधन संस्था,12,bigram
मृत्यू झाला,12,bigram
फलंदाज बाद,12,bigram
हा सण,12,bigram
दिली होती,12,bigram
हा चित्रपट,12,bigram
उपलब्ध आहेत,12,bigram
झाले आहे,12,bigram
पण या,12,bigram
या सर्व,12,bigram
म्हणले आहे,12,bigram
बौद्ध धर्म,12,bigram
हिंदू कोड,12,bigram
चित्रपट आहे,12,bigram
गेले होते,12,bigram
बौद्ध धर्माचा,12,bigram
ते म्हणाले,12,bigram
छत्रपती शाहू,12,bigram
१९२७ रोजी,12,bigram
जाणून घ्या,12,bigram
अनेक ठिकाणी,12,bigram
वापर केला,12,bigram
असे होते,11,bigram
अखिल भारतीय,11,bigram
न करता,11,bigram
पुढे ते,11,bigram
की ते,11,bigram
डॉ आ ह,11,trigram
गेला होता,11,bigram
डॉ आ,11,bigram
म्हणून ओळखले जाते,11,trigram
आ ह,11,bigram
ह साळुंखे,11,bigram
म्हटलं होतं,11,bigram
सहकारी साखर कारखाना,11,trigram
करणे हे,11,bigram
आ ह साळुंखे,11,trigram
पं नेहरू,11,bigram
होते की,11,bigram
असले तरी,11,bigram
आले आहेत,11,bigram
नेहरू हे,11,bigram
येथे आहे,11,bigram
असे अनेक,11,bigram
इन्स्टिट्यूट ऑफ,11,bigram
a b,11,bigram
करण्याचा निर्णय,11,bigram
सहकारी साखर,11,bigram
पेक्षा जास्त,11,bigram
ऑगस्ट १९४७,11,bigram
नितीश कुमार,11,bigram
दिली आणि,11,bigram
छत्रपती राजाराम,11,bigram
आहे या,11,bigram
२०१७ रोजी,11,bigram
आहे ज्यात,11,bigram
सांगितलं की,11,bigram
गेले आहे,11,bigram
संबोधले जाते,11,bigram
राजकीय हक्क,10,bigram
होती आणि,10,bigram
हे पुस्तक,10,bigram
असू शकतात,10,bigram
ठाकरे आणि,10,bigram
जसे की,10,bigram
महाविद्यालय लातूर,10,bigram
हे भारताच्या,10,bigram
आणि एक,10,bigram
सर्वात जास्त,10,bigram
आहेत आणि,10,bigram
मूळ इंग्रजी,10,bigram
केला आणि,10,bigram
मधू लिमये,10,bigram
ब्रिटिश सरकारने,10,bigram
अभ्यास केला,10,bigram
आंबेडकर हे,10,bigram
आहे त्यामुळे,10,bigram
मराठी साहित्य,10,bigram
होते पण,10,bigram
इसवी सन,10,bigram
Bihar Election,10,bigram
मराठी भाषेत,10,bigram
ते सांगतात,10,bigram
हा सन,10,bigram
म्हणणं आहे,10,bigram
भारतीय राष्ट्रीय,10,bigram
असते आणि,10,bigram
सुरू झाले,10,bigram
सहभागी झाले,10,bigram
गेला आहे,10,bigram
सदस्य म्हणून,10,bigram
जाते आणि,10,bigram
करू शकत,10,bigram
अहिल्याबाई होळकर,10,bigram
मागणी केली,10,bigram
आणि त्या,10,bigram
केंद्र आहे,10,bigram
हे सर्व,10,bigram
जात होते,10,bigram
या पुस्तकात,10,bigram
आहे तसेच,10,bigram
१ २,10,bigram
आहे असं,10,bigram
होती पण,10,bigram
उदाहरण आहे,9,bigram
ओळखला जातो,9,bigram
नाव पडले,9,bigram
या दोन्ही,9,bigram
शाहू महाराजांनी,9,bigram
मूळ पानापासून संग्रहित,9,trigram
शिवाजी महाराजांचे,9,bigram
२०१७ रोजी पाहिले,9,trigram
हल्ला केला,9,bigram
छत्रपती संभाजी महाराज,9,trigram
पूजा करतात,9,bigram
या दोन,9,bigram
संभाजी महाराजांना,9,bigram
दिले जाते,9,bigram
दक्षिण भारतात,9,bigram
असला तरी,9,bigram
कॉलेज ऑफ,9,bigram
पुणे हे,9,bigram
म्हणून काम,9,bigram
आणि त्यामुळे,9,bigram
देण्यात आली,9,bigram
तर तो,9,bigram
कादंबरी लेखक,9,bigram
अहिल्यादेवी होळकर,9,bigram
केले व,9,bigram
राज्य केले,9,bigram
गरज आहे,9,bigram
श्री संत,9,bigram
ऑगस्ट १९४७ रोजी,9,trigram
देत नाही,9,bigram
करण्याचा निर्णय घेतला,9,trigram
जातो आणि,9,bigram
आणि मराठी,9,bigram
पाण्यानं अंघोळ,9,bigram
रोजी आंबेडकरांनी,9,bigram
आहे ते,9,bigram
मोठ्या संख्येने,9,bigram
संभाजी महाराजांच्या,9,bigram
समावेश होता,9,bigram
असली तरी,9,bigram
दिलेल्या माहितीनुसार,9,bigram
नसेल तर,9,bigram
या ठिकाणी,9,bigram
आला आणि,9,bigram
आणि तो,9,bigram
१९३० रोजी,9,bigram
शहर हे,9,bigram
प्रयत्न केले,9,bigram
आणि उद्धव,9,bigram
म्हणाले की,9,bigram
आणि त्यांचा,9,bigram
नाव दिले,9,bigram
स्मिता पाटील,9,bigram
महाराष्ट्र राज्याची,9,bigram
या शब्दाचा,9,bigram
व या,9,bigram
हे या,9,bigram
करता येईल,9,bigram
असे दिसते,9,bigram
शिवाजी महाराजांचा,9,bigram
जाऊ लागले,9,bigram
उपलब्ध आहे,9,bigram
आधुनिक भारताचे,9,bigram
सुरू झाला,9,bigram
पानापासून संग्रहित,9,bigram
असा प्रश्न,9,bigram
सांगितलं होतं,8,bigram
बीबीसी मराठीशी बोलताना,8,trigram
एकत्र आले तर,8,trigram
ही गोष्ट,8,bigram
मोमीन कवठेकर,8,bigram
संत एकनाथ,8,bigram
केला तर,8,bigram
पुन्हा एकदा,8,bigram
यांनी साकारली,8,bigram
तयार केली,8,bigram
आक्रमण केले,8,bigram
जास्तीत जास्त,8,bigram
म्हणून साजरा,8,bigram
मुख्यालय आहे,8,bigram
मराठी अनुवाद,8,bigram
मध्ये झालेल्या,8,bigram
तयार झाले,8,bigram
असे सांगितले,8,bigram
फ्री हिट,8,bigram
राजाराम महाराज,8,bigram
च्या सुमारास,8,bigram
नंतरच्या काळात,8,bigram
करून दिली,8,bigram
येणार नाही,8,bigram
ऑफ द,8,bigram
आणि काही,8,bigram
प्राचीन काळी,8,bigram
एकत्र आले,8,bigram
आले तर,8,bigram
भाग आहे,8,bigram
Bihar Election Result,8,trigram
बाजीराव पेशवे,8,bigram
शिक्षण संस्था,8,bigram
Election Result,8,bigram
हा किल्ला,8,bigram
महत्त्व आहे,8,bigram
संभाजी महाराजांनी,8,bigram
सर्वात मोठा,8,bigram
राज्य होते,8,bigram
केली व,8,bigram
होऊ नये,8,bigram
पण काही,8,bigram
अशा प्रकारे,8,bigram
आणि संत,8,bigram
आहे जे,8,bigram
मुक्त विद्यापीठ,8,bigram
बोलली जाते,8,bigram
नाही असे,8,bigram
झाला तर,8,bigram
दादासाहेब फाळके,8,bigram
काम करत,8,bigram
आणि आपल्या,8,bigram
प्रकार आहे,8,bigram
प्रकार आहेत,8,bigram
मनाचे श्लोक,8,bigram
केले जात,8,bigram
देण्यात आले,8,bigram
क्रिकेट हा,8,bigram
एक प्रमुख,8,bigram
जात आहे,8,bigram
आंबेडकरांनी आपल्या,8,bigram
तर त्या,8,bigram
लेखक वि,8,bigram
आंबेडकर यांच्या,8,bigram
उदयास आली,8,bigram
आहे ती,8,bigram
आहेत पण,8,bigram
सातारा शहराच्या,8,bigram
होते परंतु,8,bigram
मराठीशी बोलताना,8,bigram
बीबीसी मराठीशी,8,bigram
झाली आणि,8,bigram
आणि त्यांना,8,bigram
प्राप्त करून,8,bigram
प्रथम श्रेणी,8,bigram
आहे पण,8,bigram
राष्ट्रीय महामार्ग,8,bigram
स्थापना झाली,8,bigram
त्या काळात,8,bigram
इतर अनेक,8,bigram
आहे जो,8,bigram
असून तो,8,bigram
करावा लागला,8,bigram
इंग्लंड आणि,8,bigram
सुरू केला,8,bigram
झालेली आहे,8,bigram
इंग्रजी लेखक,8,bigram
होणार नाही,8,bigram
आंबेडकर यांची,8,bigram
मराठी माणूस,8,bigram
म्हणणं आहे की,8,trigram
विविध प्रकारच्या,7,bigram
गरजेचे आहे,7,bigram
संत मुक्ताबाई,7,bigram
मिळाला आहे,7,bigram
गेल्या काही,7,bigram
अजून एक,7,bigram
यांचा वापर,7,bigram
करण्यात आली आहे,7,trigram
एक मोठी,7,bigram
भारताचे शिल्पकार,7,bigram
गरम पाण्यानं,7,bigram
गौरव केला,7,bigram
हे मराठी,7,bigram
मंदिर आहे,7,bigram
2013 रोजी,7,bigram
त्या दिवशी,7,bigram
आहे मी,7,bigram
झाली व,7,bigram
यांच्या जीवनावर,7,bigram
फायदा होईल,7,bigram
आहे असा,7,bigram
अभियांत्रिकी महाविद्यालय,7,bigram
आलं होतं,7,bigram
मूळ इंग्रजी लेखक,7,trigram
इंग्रजी आवृत्ती मुक्त,7,trigram
हे भारतीय,7,bigram
म्हणून या,7,bigram
महिला क्रिकेट,7,bigram
राजाराम महाराजांच्या,7,bigram
होतं पण,7,bigram
उल्लेख आहे,7,bigram
ही भाषा,7,bigram
व्या शतकाच्या,7,bigram
आणि त्यांनी,7,bigram
भारताच्या सर्वांत,7,bigram
ही पेठ,7,bigram
गेले आहेत,7,bigram
यादव यांच्या,7,bigram
विकास झाला,7,bigram
ही त्यांची,7,bigram
यांची कन्या,7,bigram
पराभव केला,7,bigram
सुरू होत,7,bigram
सामना करावा,7,bigram
तेजस्वी यादव,7,bigram
हा लेख,7,bigram
पण आता,7,bigram
राजधानी होती,7,bigram
केलं तर,7,bigram
14 रोजी,7,bigram
ईस्ट इंडिया,7,bigram
2013 रोजी मूळ,7,trigram
मुंबई हे,7,bigram
महात्मा गांधींनी,7,bigram
लोकप्रिय आहेत,7,bigram
बशीर मोमीन,7,bigram
करता येते,7,bigram
आवृत्ती मुक्त,7,bigram
शिक्षण आणि,7,bigram
सांगितले होते,7,bigram
असं मला,7,bigram
आणि मग,7,bigram
आणि त्याची,7,bigram
की या,7,bigram
अल फलाह,7,bigram
हे छत्रपती,7,bigram
१९३० मध्ये,7,bigram
२६ जानेवारी,7,bigram
परिणाम झाला,7,bigram
टाइम्स ऑफ,7,bigram
जब्बार पटेल,7,bigram
सप्टेंबर 2025,7,bigram
करण्याचा प्रयत्न केला,7,trigram
किमी अंतरावर,7,bigram
की तुम्ही,7,bigram
१९६० मध्ये,7,bigram
मराठी ही,7,bigram
दिली आहे,7,bigram
झालं आहे,7,bigram
वापरला जातो,7,bigram
असा आहे,7,bigram
लेखक डॉ,7,bigram
तयार केला,7,bigram
करत होते,7,bigram
सामाजिक व,7,bigram
यांचा जन्म,7,bigram
१९३२ रोजी,7,bigram
मराठा साम्राज्याचे,7,bigram
पण त्यांच्या,7,bigram
पेक्षा अधिक,7,bigram
14 रोजी मूळ,7,trigram
असे म्हणले जाते,7,trigram
असा होतो,7,bigram
वल्लभभाई पटेल,7,bigram
लालू यादव,7,bigram
पुढे जाऊन,7,bigram
पराभव करून,7,bigram
आंतरराष्ट्रीय विमानतळ,7,bigram
माध्यमिक शिक्षण,7,bigram
राजकीय व,7,bigram
व सामाजिक,7,bigram
कायदा व,7,bigram
करण्यात आला आहे,7,trigram
राज ठाकरे आणि,7,trigram
आणि उद्धव ठाकरे,7,trigram
झालेला आहे,7,bigram
काही भाग,7,bigram
पराभव झाला,7,bigram
होत असे,7,bigram
आहे म्हणून,7,bigram
यशवंतराव चव्हाण,7,bigram
असतो व,7,bigram
असे म्हणले आहे,7,trigram
प्रश्न उपस्थित,7,bigram
झाला व,7,bigram
आहेत का,7,bigram
मिळाले होते,7,bigram
त्यांनी आपल्या,7,bigram
हिंदू धर्म,7,bigram
करू नका,7,bigram
असतील तर,7,bigram
परिणाम होतो,7,bigram
कार्तिक शुद्ध,7,bigram
असे संबोधले,7,bigram
आधुनिक भारताचे शिल्पकार,7,trigram
हा प्रकार,7,bigram
व त्यांनी,7,bigram
उच्च माध्यमिक,7,bigram
चर्चा केली,7,bigram
असे नाव दिले,7,trigram
करता येतो,7,bigram
बशीर मोमीन कवठेकर,7,trigram
तर काही,7,bigram
कमी होत,7,bigram
मत आहे,7,bigram
या शहरात,7,bigram
म्हणून ओळखला,7,bigram
यांच्या मते,7,bigram
आणि त्यातून,6,bigram
हिंदी चित्रपट,6,bigram
यांनी त्यांच्या,6,bigram
त्यांची पत्नी,6,bigram
करत आहे,6,bigram
आंबेडकर यांची भूमिका,6,trigram
साहित्य आणि,6,bigram
तर मग,6,bigram
मी हे,6,bigram
खऱ्या अर्थाने,6,bigram
प्रतिनिधी म्हणून,6,bigram
करत असताना,6,bigram
त्यांनी म्हटलं,6,bigram
जगातील सर्वात,6,bigram
एक अतिरिक्त,6,bigram
प्रसिद्ध झाले,6,bigram
नाव बदलून,6,bigram
लक्षात येते,6,bigram
घेतला आणि,6,bigram
शकतो परंतु,6,bigram
यांनी संगीतबद्ध,6,bigram
केले आहेत,6,bigram
दिन म्हणून,6,bigram
भाग घेतला,6,bigram
शाखा आहे,6,bigram
हा भाग,6,bigram
त्या वेळी,6,bigram
महत्त्वाचे आहे,6,bigram
पुणे शहर,6,bigram
का हे,6,bigram
या भागात,6,bigram
गेला आणि,6,bigram
म्हणून प्रसिद्ध,6,bigram
गरम पाण्यानं अंघोळ,6,trigram
भाषा आहे,6,bigram
दिला होता,6,bigram
घेतली होती,6,bigram
होते असे,6,bigram
हिंदू धर्मात,6,bigram
आणि मी,6,bigram
मरण पावले,6,bigram
दिले गेले,6,bigram
नाही त्यामुळे,6,bigram
होतो आणि,6,bigram
करीत असत,6,bigram
होतं आणि,6,bigram
एक महत्त्वाचे,6,bigram
क्षेत्ररक्षण करणाऱ्या,6,bigram
सुरू होते,6,bigram
दिले आहे,6,bigram
मला वाटतं,6,bigram
५० ०००,6,bigram
लोकप्रिय आहे,6,bigram
केली गेली,6,bigram
होत आहेत,6,bigram
होईल असं,6,bigram
महत्त्वाचं आहे,6,bigram
उपस्थित केला,6,bigram
वैशाख शुद्ध,6,bigram
मर्यादित षटकांच्या,6,bigram
आहेत ते,6,bigram
महाराज आणि,6,bigram
एक मोठा,6,bigram
अध्यक्ष म्हणून,6,bigram
होता की,6,bigram
मोठी बाजारपेठ,6,bigram
मंदिर हे,6,bigram
असे मानतात,6,bigram
फलंदाजी करणाऱ्या,6,bigram
१९१३ रोजी,6,bigram
घोषणा केली,6,bigram
आणि राजकीय,6,bigram
व राजकीय,6,bigram
१५ ऑगस्ट,6,bigram
ही संस्था,6,bigram
बुद्ध जयंती,6,bigram
म्हणून साजरा केला,6,trigram
डाव घोषित,6,bigram
जीवनावर आधारित,6,bigram
की जर,6,bigram
व त्यात,6,bigram
पुरस्कार मिळाला आहे,6,trigram
माहिती नाही,6,bigram
काम केलं,6,bigram
मध्ये सुरू,6,bigram
सांगितले आहे,6,bigram
प्रयत्न करतात,6,bigram
सोलापूर शहर,6,bigram
की हे,6,bigram
ठाकरे आणि उद्धव,6,trigram
हे काम,6,bigram
महानगर पालिका,6,bigram
होते तर,6,bigram
होळकर वाडा,6,bigram
ठेवण्यात आले,6,bigram
व नंतर,6,bigram
मराठी लोकांना,6,bigram
१९५६ मध्ये,6,bigram
ओळखले जात,6,bigram
टाइम्स ऑफ इंडिया,6,trigram
सहभागी झाले होते,6,trigram
लिहिले आहे,6,bigram
हून अधिक,6,bigram
दिला आणि,6,bigram
सामाजिक आर्थिक,6,bigram
आणि पुढे,6,bigram
गरज नाही,6,bigram
शकला नाही,6,bigram
यांचा समावेश होतो,6,trigram
करत असत,6,bigram
म्हटलं जातं,6,bigram
करू शकत नाही,6,trigram
मराठा साम्राज्याची,6,bigram
तयार होते,6,bigram
हे मुख्य,6,bigram
नाशिक रोड,6,bigram
पण हे,6,bigram
मूळ लेखक,6,bigram
अशा वेळी,6,bigram
साजरा होतो,6,bigram
मराठी भाषेतील,6,bigram
आहे असे मानले,6,trigram
कसोटी क्रिकेट,6,bigram
जात आहेत,6,bigram
रेकॉर्ड केले,6,bigram
उत्तर भारतात,6,bigram
व भारतीय,6,bigram
आहेत किंवा,6,bigram
प्रयत्न करतो,6,bigram
प्रथा आहे,6,bigram
सचिन तेंडुलकर,6,bigram
अनेक वेळा,6,bigram
पूजा केली,6,bigram
तयार केले,6,bigram
वाटत होते,6,bigram
सर्वात मोठी,6,bigram
करार रद्द,6,bigram
काही काळ,6,bigram
करू लागले,6,bigram
राम मंदिर,6,bigram
असे म्हणत,6,bigram
सर्वात मोठे,6,bigram
ही मराठी,6,bigram
नाही परंतु,6,bigram
एक भाग,6,bigram
झाले व,6,bigram
ओळख करून,6,bigram
सर्वांत मोठे,6,bigram
त्यामुळे त्यांनी,6,bigram
परंतु या,6,bigram
दक्षिण आफ्रिकेतील,6,bigram
स्वामी समर्थ,6,bigram
केला नाही,6,bigram
संस्था आहेत,6,bigram
आणि सामाजिक,6,bigram
नेते होते,6,bigram
श्रीजा सावंत,6,bigram
भीमराव आंबेडकर,6,bigram
च्या जनगणनेनुसार,6,bigram
नाही या,6,bigram
घेतला आहे,6,bigram
शिक्षण हे,6,bigram
म्हणून ओळखला जातो,6,trigram
क्रिकेट खेळाडू,6,bigram
आंबेडकर स्मारक,6,bigram
भारत सरकारने,6,bigram
भेट झाली,6,bigram
जात असताना,6,bigram
नये यासाठी,6,bigram
काही वेळा,6,bigram
सोशल मीडियावर,6,bigram
काही लोक,6,bigram
भारतात अनेक,6,bigram
शक्य आहे,6,bigram
कुमार यांनी,6,bigram
त्यांचे वडील,6,bigram
असेही म्हणतात,6,bigram
किंवा दोन,6,bigram
अशा प्रकारच्या,6,bigram
काय परिणाम,6,bigram
पेठ व,6,bigram
मध्य प्रदेश,6,bigram
मदत केली,6,bigram
बाप्पा मोरया,6,bigram
आणि सांस्कृतिक,6,bigram
आणि भारतीय,6,bigram
तुका म्हणे,6,bigram
या प्रदेशात,6,bigram
या ग्रंथात,6,bigram
आणि संस्कृती,6,bigram
सण साजरा,6,bigram
गेले आणि,6,bigram
हिंदी आणि,6,bigram
हा प्रश्न,6,bigram
केले आणि,6,bigram
तयार करून,6,bigram
होते व,6,bigram
की नाही,6,bigram
नावाने ओळखले,6,bigram
इंग्लिश भाषेत,6,bigram
असू शकते,6,bigram
वापरले जाते,6,bigram
हे त्यांचे,6,bigram
पोलीस व्हेरिफिकेशन,6,bigram
यांची भूमिका,6,bigram
भूमिका अभिनेता,6,bigram
शुद्ध प्रतिपदा,6,bigram
असून या,6,bigram
लाभलेली आहे,6,bigram
महाराष्ट्र राज्यातील,6,bigram
होते ते,6,bigram
ते सांगतात की,5,trigram
म्हटलंय की,5,bigram
या कालावधीत,5,bigram
तपासा सहाय्य,5,bigram
मूल्ये तपासा,5,bigram
दिनांक मूल्ये,5,bigram
मधील दिनांक,5,bigram
पोलीस आयुक्त,5,bigram
काम करून,5,bigram
प्रबोधनकार ठाकरे,5,bigram
चैत्र शुद्ध,5,bigram
योगदान दिले,5,bigram
समजला जातो,5,bigram
सामील झाले,5,bigram
बिहार विधानसभा,5,bigram
यांची भूमिका अभिनेता,5,trigram
असा विचार,5,bigram
आहेत तर,5,bigram
प्रशासकीय मुख्यालय आहे,5,trigram
भारतीय महिला क्रिकेट,5,trigram
पोलिसांनी दिलेल्या माहितीनुसार,5,trigram
आशा भोसले,5,bigram
जीवनावर आधारित एक,5,trigram
यांनी साकारली होती,5,trigram
भारतीय महिला,5,bigram
खंड १,5,bigram
शिवाजी महाराजांना,5,bigram
आणि त्यानंतर,5,bigram
वैशिष्ट्य आहे,5,bigram
हा होता,5,bigram
मंगेशकर यांनी,5,bigram
त्यांचे निधन,5,bigram
स्वतंत्र मतदार,5,bigram
आणि ही,5,bigram
दोन वेळा,5,bigram
असलेल्या या,5,bigram
या चित्रपटात,5,bigram
मान्य केले,5,bigram
यांनी लिहिलेले,5,bigram
विसाव्या शतकाच्या,5,bigram
महाराष्ट्र शासनाने,5,bigram
शहराची लोकसंख्या,5,bigram
सुरू करण्यात,5,bigram
नये म्हणून,5,bigram
संत एकनाथांच्या,5,bigram
या मुली,5,bigram
आहे हा,5,bigram
आणि या,5,bigram
पार्थ पवार,5,bigram
काम करतात,5,bigram
तेव्हा ते,5,bigram
असून त्याच्या,5,bigram
२०१२ मध्ये,5,bigram
होण्याची शक्यता,5,bigram
होऊ शकते,5,bigram
आणि पुन्हा,5,bigram
फलंदाज नाबाद,5,bigram
डोनाल्ड ट्रम्प,5,bigram
धर्म आणि,5,bigram
नाही याची,5,bigram
याची खात्री,5,bigram
गणपती बाप्पा,5,bigram
नद्या आहेत,5,bigram
होता तो,5,bigram
नामदेव हे,5,bigram
विजया मेहता,5,bigram
कमी आहे,5,bigram
20 रोजी,5,bigram
असणे आवश्यक,5,bigram
हे महाराष्ट्र,5,bigram
कदम यांनी,5,bigram
पोलीस ठाण्यात,5,bigram
गुन्हा दाखल,5,bigram
परंतु ते,5,bigram
वैशिष्ट्य म्हणजे,5,bigram
सेंटर फॉर,5,bigram
होती की,5,bigram
गोष्ट आहे,5,bigram
हे गाव,5,bigram
संगीत नाटक अकादमी,5,trigram
निवड केली,5,bigram
ठरू शकतं,5,bigram
की आजच्या,5,bigram
आजच्या सर्व,5,bigram
सर्व समस्यांना,5,bigram
व अनेक,5,bigram
घेतला व,5,bigram
विक्रम गोखले,5,bigram
at the वेबॅक,5,trigram
the वेबॅक मशीन,5,trigram
अस्पृश्यांचे प्रतिनिधी,5,bigram
क्लबचा तरण,5,bigram
यासाठी त्यांनी,5,bigram
निर्माण झाली,5,bigram
म्हणजे या,5,bigram
अशा दोन्ही,5,bigram
क्लबचा तरण तलाव,5,trigram
संत तुकाराम महाराज,5,trigram
बीबीसी मराठी,5,bigram
लोक या,5,bigram
गणपती बाप्पा मोरया,5,trigram
२०११ च्या,5,bigram
हा जिल्हा,5,bigram
स्थित आहे,5,bigram
तसेच त्यांनी,5,bigram
अशा प्रकारचे,5,bigram
बनला आहे,5,bigram
श्री क्षेत्र,5,bigram
घटना समितीचे,5,bigram
मात्र या,5,bigram
होऊ लागले,5,bigram
भारतात या,5,bigram
लावणी हा,5,bigram
सर्व प्रमुख,5,bigram
हा उत्सव,5,bigram
अशी माहिती,5,bigram
महाराज यांच्या,5,bigram
आणि त्यात,5,bigram
संत चोखामेळा,5,bigram
आंतरराष्ट्रीय स्तरावर,5,bigram
करणे आवश्यक,5,bigram
स्वीकार केला,5,bigram
बाळाजी विश्वनाथ,5,bigram
राजकीय व सामाजिक,5,trigram
असे संबोधले जाते,5,trigram
स्थान आहे,5,bigram
शब्दाचा अर्थ,5,bigram
उत्सव साजरा,5,bigram
अशी त्यांची,5,bigram
हिंदू आणि,5,bigram
२० मार्च,5,bigram
योग्य आहे,5,bigram
हे समजून,5,bigram
कोल्हापूर हे,5,bigram
अस्पृश्यांच्या राजकीय,5,bigram
बाबासाहेब आंबेडकर स्मारक,5,trigram
फक्त एक,5,bigram
येथे मराठी,5,bigram
वसलेले आहे,5,bigram
उदाहरण म्हणजे,5,bigram
b c,5,bigram
