token,pos
संस्थेच्या,PP
मदतीनं,NOUN
अनोखा,NOUN
लोकसहभागाचा,NOUN
प्रयोग,NOUN
साकारतोय,NOUN
भारतभर,NOUN
फक्त,NOUN
सुमारे,NOUN
730,NUM
उरले,VERB
हे,PART
आशादायी,NOUN
चित्र,NOUN
एडिट,NOUN
अरविंद,NOUN
पारेकर,NOUN
भारतातल्या,NOUN
गुजरात,NOUN
आणि,NOUN
पाकिस्तानच्या,PP
सिंध,NOUN
प्रांताच्या,PP
सीमेवरच्या,PP
96,NUM
किलोमीटर,NOUN
लांबीच्या,PP
Sir,NOUN
Creek,NOUN
दलदलीच्या,PP
जागेवर,PP
भारत,NOUN
पाकिस्तान,NOUN
दोघेही,NOUN
हक्क,NOUN
कधीपासून,NOUN
याच,NOUN
परिसरात,NOUN
दोन्ही,NOUN
देशांचे,NOUN
लष्करी,NOUN
सराव,NOUN
सुरू,NOUN
अलिकडेच,NOUN
संघर्षाच्या,PP
पार्श्वभूमीवर,PP
याकडे,PP
कसं,NOUN
पाहायचं,NOUN
समजून,NOUN
घेऊयात,NOUN
गोष्टमध्ये,PP
Author,NOUN
नवीन,NOUN
सिंह,NOUN
खडका,NOUN
अँटोनिया,NOUN
क्यूबेरोआणि,NOUN
व्हिज्युअल,NOUN
जर्नलिझम,NOUN
टीमRole,NOUN
वर्ल्ड,NOUN
सर्व्हिस,NOUN
टीम,NOUN
Role,NOUN
वर्षीची,NOUN
संयुक्त,NOUN
राष्ट्रसंघाची,NOUN
हवामान,NOUN
बदल,NOUN
परिषद,NOUN
COP30,NOUN
ब्राझीलच्या,PP
भागात,NOUN
असलेल्या,NOUN
बेलेम,NOUN
शहरात,NOUN
होते,NOUN
शहराला,PP
अनेकदा,NOUN
ॲमेझॉनच्या,PP
जंगलांचं,NOUN
प्रवेशद्वार,NOUN
म्हटलं,NOUN
जातं,NOUN
जगातील,NOUN
सर्वात,NOUN
मोठं,NOUN
सदाहरित,NOUN
जंगल,NOUN
वर्षावन,NOUN
शहर,NOUN
म्हणजे,NOUN
एक,PART
प्रतीकात्मक,NOUN
स्थान,NOUN
पॅरिसमध्ये,PP
बदलावरच्या,PP
परिषदेनंतर,NOUN
दहा,NOUN
वर्षांनी,NOUN
जगभरातील,NOUN
प्रतिनिधी,NOUN
जमत,NOUN
ऐतिहासिक,NOUN
झाला,PP
होता,NOUN
त्या,NOUN
कराराचा,NOUN
उद्देश,NOUN
पृथ्वीवरील,NOUN
तापमान,NOUN
वाढवणाऱ्या,NOUN
ग्रीन,NOUN
हाऊस,NOUN
गॅस,NOUN
हरितगृह,NOUN
वायूंचं,NOUN
उत्सर्जन,NOUN
सुरक्षित,NOUN
मर्यादेपर्यंत,NOUN
रोखण्याचा,NOUN
पर्यावरणात,NOUN
मोठ्या,NOUN
प्रमाणात,NOUN
असणारा,NOUN
कार्बन,NOUN
डायऑक्साईड,NOUN
वायू,NOUN
शोषून,NOUN
घेण्याचं,NOUN
काम,NOUN
ॲमेझॉनचं,NOUN
घनदाट,NOUN
करतं,NOUN
त्यामुळे,NOUN
बदलाच्या,PP
स्थितीमध्ये,PP
सुधारणा,NOUN
करण्याच्या,PP
उपायांमध्ये,PP
जंगलांची,NOUN
भूमिका,NOUN
अत्यंत,NOUN
महत्त्वाची,NOUN
मात्र,NOUN
वैज्ञानिकांचं,NOUN
म्हणणं,NOUN
की,PART
अनक,NOUN
दशकांपासून,NOUN
होत,NOUN
असलेली,VERB
जंगलतोड,NOUN
परिणामांमुळे,NOUN
भविष्यच,NOUN
अनिश्चित,NOUN
अंधारमय,NOUN
झालं,NOUN
ही,PART
पारा,NOUN
प्रांताची,NOUN
राजधानी,NOUN
प्रांतात,VERB
जंगलांचा,NOUN
सर्वाधिक,NOUN
विनाश,NOUN
होतो,NOUN
कारणामुळे,NOUN
सद्यस्थिती,NOUN
जंगलांना,NOUN
ज्या,NOUN
धोक्यांचा,NOUN
सामना,NOUN
करावा,NOUN
लागतो,NOUN
त्याचा,NOUN
सखोल,NOUN
आढावा,NOUN
घेत,NOUN
जंगलाचा,NOUN
जवळपास,NOUN
60,NUM
टक्के,NOUN
भाग,NOUN
ब्राझीलमध्ये,PP
ब्राझीलचं,NOUN
उष्णकटिबंधीय,NOUN
सुरक्षा,NOUN
मजबूत,NOUN
करण्यासाठी,PP
ते,PART
घडवून,NOUN
आणण्याचा,NOUN
करतील,NOUN
ताण,NOUN
आलाय,NOUN
मन,PART
शांत,NOUN
करायचंय,NOUN
आपल्याच,NOUN
शरीरातल्या,NOUN
शांततेच्या,PP
बटणा,NOUN
बद्दल,NOUN
मराठी,NOUN
माणूस,NOUN
जेव्हा,NOUN
बिहारमधून,NOUN
तब्बल,NOUN
4,NUM
वेळा,NOUN
खासदार,NOUN
कर्जाचे,NOUN
हप्ते,NOUN
थकल्यावर,PP
बँकांचे,NOUN
वसुली,VERB
एजंट्स,NOUN
मागे,NOUN
लागत,NOUN
असतील,NOUN
ग्राहक,NOUN
म्हणून,NOUN
तुमचे,NOUN
अधिकार,NOUN
रुग्णालयातून,NOUN
घरी,NOUN
परतल्यावर,PP
अभिनेता,NOUN
गोविंदाने,PP
सांगितले,VERB
वर्षावनं,NOUN
किंवा,NOUN
जंगलं,NOUN
प्रामुख्यानं,NOUN
विषुववृत्ताजवळ,NOUN
आढळतात,VERB
जंगलांमध्ये,PP
उंचच,NOUN
उंच,NOUN
बहुतांश,NOUN
वृक्ष,NOUN
असतात,VERB
प्रजातींचा,NOUN
अधिवास,NOUN
ॲमेझॉनमध्ये,PP
जंगलच,NOUN
दलदलीचा,NOUN
प्रदेश,NOUN
सवाना,NOUN
गवताळ,NOUN
मैदानी,NOUN
देखील,NOUN
खोरं,NOUN
दक्षिण,NOUN
अमेरिकेत,NOUN
67,NUM
लाख,NOUN
चौ,PART
किलोमीटरहून,NOUN
अधिक,NOUN
भूभागात,NOUN
पसरलेलं,NOUN
क्षेत्रफळाचा,NOUN
विचार,NOUN
करता,NOUN
आकार,NOUN
भारताच्या,PP
दुप्पट,NOUN
समृद्ध,NOUN
जैव,NOUN
विविधता,NOUN
भागांपैकी,NOUN
किमान,NOUN
40,NUM
000,NUM
वनस्पतींच्या,PP
प्रजाती,NOUN
पक्षांच्या,PP
300,NUM
ज्यात,NOUN
हार्पी,NOUN
ईगल,NOUN
टूकानचा,NOUN
समावेश,NOUN
हिरव्या,NOUN
इगुआनापासून,NOUN
ब्लॅक,NOUN
कॅमनपर्यंत,NOUN
सरपटणाऱ्या,NOUN
प्राण्यांच्या,PP
378,NUM
400,NUM
हून,NOUN
उभयचर,NOUN
डार्ट,NOUN
पॉयझन,NOUN
फ्रॉग,NOUN
स्मूथ,NOUN
सायडेड,NOUN
टोड,NOUN
यांचा,NOUN
गोड्या,NOUN
पाण्यातील,NOUN
माशांचे,NOUN
3,NUM
प्रकार,NOUN
यात,NOUN
पिरान्हा,NOUN
विशाल,NOUN
अरपाइमा,NOUN
माशाचा,NOUN
त्याचं,NOUN
वजन,NOUN
200,NUM
किलोपर्यंत,NOUN
असू,NOUN
शकतं,NOUN
यापैकी,NOUN
अनेक,NOUN
जगात,NOUN
इतरत्र,NOUN
कुठेही,NOUN
आढळत,NOUN
नाहीत,NOUN
याव्यतिरिक्त,NOUN
प्रदेशात,NOUN
शेकडो,NOUN
मूलनिवासी,NOUN
समुदाय,NOUN
राहतात,VERB
खोरे,NOUN
जैवविविधतेच्या,PP
बाबतीत,NOUN
ॲमेझॉन,NOUN
मोठी,NOUN
नदी,NOUN
नदीला,PP
100,NUM
उपनद्या,NOUN
पाण्याचा,NOUN
मोठा,NOUN
स्रोत,NOUN
पाणी,NOUN
शेवटी,NOUN
अटलांटिक,NOUN
महासागरात,NOUN
जाऊन,NOUN
मिळतं,NOUN
सागरी,NOUN
प्रवाह,NOUN
राखण्यात,NOUN
बजावतं,NOUN
भलंमोठं,NOUN
सिंक,NOUN
अर्थात,NOUN
जंगलातील,NOUN
काही,NOUN
वृक्षतोड,NOUN
झाल्यामुळे,NOUN
खराब,NOUN
असं,NOUN
दिसून,NOUN
आलं,NOUN
जितक्या,NOUN
डाय,NOUN
ऑक्साईड,NOUN
घेतं,NOUN
त्याच्यापेक्षा,NOUN
उत्सर्जित,NOUN
अन्न,NOUN
औषधांचा,NOUN
स्त्रोत,NOUN
धातू,NOUN
विशेषकरून,NOUN
सोन्यासाठी,PP
उत्खनन,NOUN
केलं,NOUN
कच्चे,NOUN
तेल,NOUN
नैसर्गिक,NOUN
वायूचा,NOUN
उत्पादक,NOUN
ठरू,NOUN
शकतो,NOUN
तिथून,NOUN
लाकडाचा,NOUN
पुरवठा,NOUN
नेमकं,NOUN
घडतं,NOUN
तापमानात,NOUN
वेगानं,NOUN
वाढ,NOUN
प्रदीर्घ,NOUN
काळ,NOUN
पडलेल्या,NOUN
दुष्काळामुळे,NOUN
संतुलनावर,PP
परिणाम,NOUN
सर्वसाधारणपणे,NOUN
ओलसर,NOUN
राहणारं,NOUN
कोरडं,NOUN
आगीचा,NOUN
धोका,NOUN
वाढला,PP
उदाहरणार्थ,NOUN
आयएनपीई,NOUN
अंतराळ,NOUN
संस्थेनुसार,NOUN
2024,NUM
मध्ये,PP
ब्राझीलमधील,NOUN
खोऱ्यात,NOUN
41,NUM
463,NUM
ठिकाणी,NOUN
आगीचे,NOUN
हॉटस्पॉट,NOUN
नोंदवण्यात,NOUN
आले,VERB
2010,NUM
नंतर,NOUN
महिन्यात,NOUN
आलेलं,NOUN
प्रमाण,NOUN
होतं,NOUN
अमेरिकेतील,NOUN
येल,NOUN
विद्यापीठातील,NOUN
इकोसिस्टम,NOUN
कॅप्चर,NOUN
चे,PART
सहायक,NOUN
प्राध्यापक,NOUN
पाउलो,NOUN
ब्रांडो,NOUN
म्हणतात,VERB
दुष्काळ,NOUN
लागण्याच्या,PP
घटनांमध्ये,PP
सातत्यानं,NOUN
यामुळे,NOUN
भागाची,NOUN
धूप,NOUN
वाढली,VERB
पुढे,NOUN
जंगलांसाठी,PP
ठरते,NOUN
फ्लाईंग,NOUN
रिव्हर्सवरील,NOUN
विनाशकारी,NOUN
समस्या,NOUN
इथूनच,NOUN
आकाराचं,NOUN
स्वत,NOUN
च्याच,NOUN
प्रणाली,VERB
याची,NOUN
महासागरातून,NOUN
येणारी,NOUN
आर्द्रता,NOUN
ओलावा,NOUN
पसरवतात,VERB
त्यांना,NOUN
आकाशात,NOUN
वाहणाऱ्या,NOUN
हवाई,NOUN
नद्या,NOUN
रिव्हर्स,NOUN
वातावरणातील,NOUN
आधी,NOUN
पूर्व,NOUN
अटलांटिकजवळच्या,PP
पाऊस,NOUN
पाडतात,VERB
त्यानंतर,NOUN
वृक्षांवरून,NOUN
पाण्याची,NOUN
वाफ,NOUN
मग,PART
बाष्पीभवनच्या,PP
प्रक्रियेद्वारे,NOUN
हवेत,NOUN
पसरतं,NOUN
वर्षावनाच्या,PP
पडण्याआधी,NOUN
पश्चिमेकडे,PP
एका,NOUN
भागातून,NOUN
दुसऱ्या,NOUN
भागापर्यंत,NOUN
पाण्याचं,NOUN
चक्र,NOUN
संपूर्ण,NOUN
चालतं,NOUN
इतका,NOUN
कशाप्रकारे,NOUN
बहरलं,NOUN
त्यातून,NOUN
येतं,NOUN
प्रत्यक्षात,NOUN
पाण्याच्या,PP
वाफेच्या,PP
वाहून,NOUN
नेतात,VERB
तज्ज्ञ,NOUN
इशारा,NOUN
देत,NOUN
ॲमेझॉनमधील,NOUN
आर्द्रतेचं,NOUN
ओलाव्याचं,NOUN
संतुलन,NOUN
बिघडलं,NOUN
झाली,VERB
जमिनीची,NOUN
तिथे,NOUN
पूर्वीप्रमाणे,NOUN
पसरवली,VERB
जात,NOUN
नाहीये,NOUN
परिणामी,NOUN
वृक्षांमधून,NOUN
होऊन,NOUN
परतणारं,NOUN
खूपच,NOUN
कमी,NOUN
संवर्धनासाठी,PP
वैज्ञानिक,NOUN
भविष्यावरील,NOUN
ताज्या,NOUN
अहवालाचे,NOUN
सह,PART
लेखक,NOUN
मॅट,NOUN
फायनर,NOUN
पसरवणाऱ्या,NOUN
छोट्या,NOUN
आपसात,NOUN
जोडलेल्या,NOUN
होत्या,NOUN
मोडल्या,NOUN
नष्ट,NOUN
झाल्या,NOUN
त्यांचं,NOUN
याचा,NOUN
वाईट,NOUN
पश्चिमेकडील,NOUN
महासागरापासून,NOUN
दूर,NOUN
पेरू,NOUN
बोलिव्हियाच्या,PP
दक्षिणकेडील,NOUN
गंभीर,NOUN
वर्षावनांचं,NOUN
अस्तित्व,NOUN
खरंतर,NOUN
पूर्वेकडील,NOUN
जंगलांवर,PP
अवलंबून,NOUN
जर,PART
गेली,VERB
बनवणारं,NOUN
जल,PART
संपुष्टात,NOUN
येईल,NOUN
पश्चिम,NOUN
पोहोचू,NOUN
शकणार,NOUN
सर्व,NOUN
जोडलेलं,NOUN
जून,NOUN
दरम्यान,NOUN
चालणाऱ्या,NOUN
कोरड्या,NOUN
मोसमात,NOUN
रूप,NOUN
धारण,NOUN
करते,NOUN
जंगलात,NOUN
लागणाऱ्या,NOUN
आगींना,NOUN
प्रतिरोध,NOUN
सशक्त,NOUN
पावसाचं,NOUN
आगींबद्दलचा,NOUN
बचाव,NOUN
हळूहळू,NOUN
कमकुवत,NOUN
चालला,PP
वैज्ञानिकांना,NOUN
शंका,NOUN
कोरडी,NOUN
चाललेली,VERB
वर्षावने,PP
निर्णायक,NOUN
टप्प्यावर,PP
आली,VERB
इथून,NOUN
ती,PART
पुन्हा,NOUN
सावरू,NOUN
कायमची,NOUN
होण्याचा,NOUN
आपल्याला,PP
बदलाची,NOUN
सुरूवातीची,NOUN
चिन्हं,NOUN
दिसत,NOUN
ऑक्सफर्ड,NOUN
इकोसिस्टम्स,NOUN
लॅब,NOUN
वरिष्ठ,NOUN
संशोधन,NOUN
सहाय्यक,NOUN
एरिका,NOUN
बेरेनगुएर,NOUN
यांनादेखील,NOUN
वाढतो,NOUN
यांच्याप्रमाणेच,NOUN
त्यादेखील,NOUN
जंगलांच्या,PP
भागावर,PP
भागांच्या,PP
तुलनेत,NOUN
संथ,NOUN
प्रक्रिया,NOUN
असून,NOUN
विशिष्ट,NOUN
भागांमध्ये,PP
तज्ज्ञांचं,NOUN
होणाऱ्या,NOUN
वहनाचा,NOUN
जंगलांवरच,NOUN
तिच्या,PP
उपनद्यांवरदेखील,NOUN
गेल्या,NOUN
वर्षांमध्ये,PP
खोऱ्यातील,NOUN
नद्यांचा,NOUN
जलस्तर,NOUN
विक्रमी,NOUN
पातळीवर,PP
खाली,VERB
2023,NUM
45,NUM
वर्षांमधील,NOUN
पडला,PP
च्या,PP
सुरुवातीच्या,PP
महिन्यांमध्ये,PP
दुष्काळाची,NOUN
परिस्थिती,NOUN
अंशत,NOUN
अल,PART
नीनो,NOUN
प्रभावामुळे,NOUN
निर्माण,NOUN
होती,NOUN
पॅसिफिक,NOUN
समुद्राच्या,PP
पृष्ठभागाचं,NOUN
वाढतं,NOUN
पावसाच्या,PP
पॅटर्नवर,PP
तो,PART
बेकायदेशीर,NOUN
खाणींचं,NOUN
आव्हान,NOUN
बदलाचं,NOUN
संकट,NOUN
आधीच,NOUN
नुकसान,NOUN
झालेलं,NOUN
सोन्याच्या,PP
उत्खननामुळे,NOUN
खोऱ्याचं,NOUN
प्रचंड,NOUN
रेअर,NOUN
अर्थ,NOUN
खनिजांसाठी,PP
खनिजं,NOUN
इलेक्ट्रिक,NOUN
वाहन,NOUN
पवनचक्क्या,NOUN
मोबाईल,NOUN
फोन,NOUN
उपग्रहांमध्ये,PP
वापरली,VERB
जातात,VERB
त्यामुळेच,NOUN
आधुनिक,NOUN
अर्थव्यवस्थेसाठी,PP
खूप,NOUN
पाऱ्यासारख्या,NOUN
रसायनांनी,NOUN
माती,NOUN
प्रदूषित,NOUN
होतात,VERB
हेच,NOUN
विष,NOUN
प्राणी,NOUN
मानव,NOUN
दोघांसाठी,PP
घातक,NOUN
करणाऱ्या,NOUN
संघटित,NOUN
गुन्हेगारी,NOUN
नेटवर्कमधील,NOUN
संबंध,NOUN
वाढत,NOUN
यामध्ये,PP
शस्त्रं,NOUN
बंदूकांची,NOUN
तस्करी,NOUN
टोळ्यांचा,NOUN
नेटवर्क,NOUN
प्रशासनाला,PP
त्यावर,PP
नियंत्रण,NOUN
ठेवणं,NOUN
कठीण,NOUN
आठ,PART
देशांमध्ये,PP
प्रत्येक,NOUN
देशाची,NOUN
कायदा,NOUN
तयार,NOUN
करण्याची,NOUN
लागू,NOUN
पद्धत,NOUN
सीमेपलीकडील,NOUN
गुन्ह्यांना,NOUN
आळा,NOUN
घालणं,NOUN
बसतं,NOUN
चिंतेचं,NOUN
आणखी,NOUN
खोऱ्याखाली,VERB
हायड्रोकार्बन,NOUN
आढळले,VERB
इन्फोअमेझोनियानुसार,NOUN
2022,NUM
अब्ज,NOUN
बॅरलचे,NOUN
कच्च्या,PP
तेलाचे,NOUN
साठे,NOUN
शोधण्यात,NOUN
अलीकडच्या,PP
काळात,NOUN
आलेल्या,NOUN
तेलाच्या,PP
साठ्यांपैकी,NOUN
पाचवा,NOUN
हिस्सा,NOUN
जीवाश्म,NOUN
इंधन,NOUN
उद्योगासाठी,PP
केंद्र,NOUN
साठ्यांचा,NOUN
शोध,NOUN
लागण्यापूर्वीच,NOUN
ताजं,NOUN
होण्याआधी,NOUN
सायन्स,NOUN
पॅनल,NOUN
फॉर,NOUN
द,PART
अहवालात,NOUN
दाखवण्यात,NOUN
विनाशामुळे,NOUN
वनस्पती,NOUN
प्रदेशासाठीच,NOUN
जगासाठी,PP
असलेलं,NOUN
महत्त्व,NOUN
तुमच्या,PP
कामाच्या,PP
गोष्टी,NOUN
बातम्या,NOUN
थेट,NOUN
फोनवर,PP
अजूनही,NOUN
त्यामध्ये,PP
पृथ्वीचं,NOUN
CO2,NOUN
वायूला,PP
घेण्याची,NOUN
क्षमता,NOUN
प्रकाशित,NOUN
मॉनिटरिंग,NOUN
ऑफ,PART
अँडीज,NOUN
प्रोग्रॅम,NOUN
एमएएपी,NOUN
अहवालानुसार,NOUN
पर्यंत,NOUN
खोऱ्याच्या,PP
जमिनीवर,PP
71,NUM
मेट्रिक,NOUN
टन,PART
जमा,NOUN
झालेला,PP
सालच्या,PP
जागतिक,NOUN
पातळीवरील,NOUN
उत्सर्जनाच्या,PP
दोन,NOUN
वर्षांच्या,PP
उत्सर्जनाइतकं,NOUN
प्रदेशातील,NOUN
घेण्याऐवजी,NOUN
करू,NOUN
लागण्याचा,NOUN
आपण,NOUN
गमावलं,NOUN
संकटाविरोधातील,NOUN
लढाई,NOUN
हरल्यासारखं,NOUN
असेल,NOUN
ढगांचा,NOUN
थर,PART
करतात,VERB
सूर्याची,NOUN
किरणं,NOUN
परावर्तित,NOUN
करून,NOUN
अंतराळात,NOUN
परत,NOUN
पाठवतात,VERB
पृथ्वी,NOUN
थंड,NOUN
राहण्यास,NOUN
संतुलित,NOUN
मदत,NOUN
जोपर्यंत,NOUN
पक्रिया,NOUN
असते,NOUN
वाढण्याची,NOUN
गती,NOUN
वन,PART
टासो,NOUN
अजेवेदो,NOUN
ज्याप्रमाणे,NOUN
ॲमेझॉनसारखी,NOUN
मर्यादित,NOUN
ठेवतात,VERB
त्याचप्रमाणे,NOUN
त्यांच्यामध्ये,PP
ग्रहांना,NOUN
ठेवण्याची,NOUN
क्षमतादेखील,NOUN
एखाद्या,NOUN
एअर,NOUN
कंडिशनरसारखंच,NOUN
सांगितल्याप्रमाणे,NOUN
साठ्याचा,NOUN
हवामानावर,PP
खोलवर,PP
महासागराच्या,PP
प्रवाहांना,NOUN
दिशा,NOUN
देण्यास,NOUN
करतो,NOUN
तसंच,NOUN
प्रवाहात,NOUN
कोणत्याही,NOUN
बदलाचा,NOUN
प्रवाहांबरोबरच,NOUN
प्रादेशिक,NOUN
प्रणालींवर,PP
होऊ,NOUN
रक्षकांसाठी,PP
सोन्यापेक्षा,NOUN
अॅमेझॉनचं,NOUN
मौल्यवान,NOUN
आहे20,NOUN
मे,PART
2019,NUM
अॅमेझॉनच्या,PP
बेपत्ता,NOUN
झालेली,VERB
मुलं,NOUN
दिवसांनी,NOUN
अशी,NOUN
जिवंत,NOUN
सापडली12,NOUN
सापडली,VERB
अमेझॉनच्या,PP
हरवलेली,VERB
व्यक्ती,NOUN
31,NUM
परतली,VERB
अन्नाशिवाय,NOUN
कसा,NOUN
राहिला,PP
मार्च,NOUN
LIVE,NOUN
Live,NOUN
बिहार,NOUN
विधानसभा,NOUN
निकाल,NOUN
महुआ,NOUN
मतदारसंघातून,NOUN
तेज,NOUN
प्रताप,NOUN
यादव,NOUN
पिछाडीवर,PP
तेजस्वी,NOUN
क्रिकेटसाठी,PP
नववीतून,NOUN
शिक्षण,NOUN
सोडण्यापासून,NOUN
राजकीय,NOUN
मैदानात,NOUN
उतरण्यापर्यंत,NOUN
असा,NOUN
प्रवास2,NOUN
तासांपूर्वी,NOUN
प्रवास,NOUN
नितीश,NOUN
कुमार,NOUN
सातच,NOUN
दिवस,NOUN
19,NUM
वर्षे,NOUN
बिहारच्या,PP
मुख्यमंत्रिपदाचं,NOUN
गणित,NOUN
जुळवणारा,NOUN
नेता4,NOUN
नेता,NOUN
पी,PART
प्लेझर,NOUN
प्लेझरसाठी,PP
कित्येक,NOUN
बायका,NOUN
अक्षरशः,NOUN
तडफडत,NOUN
ब्लॉग26,NOUN
ऑक्टोबर,NOUN
ब्लॉग,NOUN
उंबरठा,NOUN
सिनेमा,NOUN
पाहिल्यावर,PP
स्मिता,NOUN
पाटील,NOUN
यांना,NOUN
विजय,NOUN
तेंडुलकरांनी,NOUN
तू,PART
मला,PP
हरवलंस,NOUN
2,NUM
शिंदे,NOUN
दाभाडे,NOUN
वर्षांपूर्वीचा,NOUN
सिंहासन,NOUN
आजही,NOUN
ताजा,NOUN
वाटण्याचं,NOUN
राज,NOUN
उद्धव,NOUN
ठाकरे,NOUN
भेटी,NOUN
गाठी,NOUN
वाढल्या,NOUN
दोघे,NOUN
एकत्र,NOUN
आल्यास,NOUN
मुंबई,NOUN
वर्चस्व,NOUN
मिळवू,NOUN
शकतील,NOUN
13,NUM
संत,NOUN
तुकाराम,NOUN
महाराज,NOUN
डॉ,PART
आ,PART
ह,PART
साळुंखे,NOUN
विद्रोही,NOUN
14,NUM
1ताण,NOUN
2एक,NOUN
होतोशेवटचा,NOUN
अपडेट,NOUN
एप्रिल,NOUN
3कर्जाचे,NOUN
4रुग्णालयातून,NOUN
5गरम,NOUN
हिवाळ्यात,NOUN
कोणत्या,NOUN
पाण्यानं,NOUN
अंघोळ,NOUN
करणं,NOUN
जास्त,NOUN
असतं,NOUN
चोर,NOUN
खेळण्याच्या,PP
बहाण्याने,PP
सासूला,PP
संपवलं,NOUN
डोकं,NOUN
चक्रावणारं,NOUN
उघडकीस,NOUN
7जवाहरलाल,NOUN
नेहरू,NOUN
भारताचे,NOUN
शिल्पकार,NOUN
आजच्या,PP
समस्यांना,NOUN
8जेव्हा,NOUN
IFS,NOUN
ऑफिसरला,PP
स्विमिंग,NOUN
कॉस्च्यूममध्येच,NOUN
म्यानमारच्या,PP
PMच्या,PP
स्वागतासाठी,PP
घेऊन,NOUN
गेले,VERB
शेवटचा,NOUN
18,NUM
9शेअर,NOUN
बाजारातील,NOUN
IPO,NOUN
पैसे,NOUN
गुंतवायचे,NOUN
लक्षात,NOUN
ठेवा,NOUN
महत्त्वाच्या,PP
टिप्स,NOUN
10बिहार,NOUN
एक्झिट,NOUN
पोलनुसार,NOUN
