word,polarity
अपराध,negative
हत्याकांड,negative
प्रश्न निर्माण,negative
त्रासदायक,negative
धक्कादायक,negative
अभाव,negative
घातक,negative
निकृष्ट,negative
अपयश,negative
भेसूर,negative
अयशस्वी,negative
हानीकारक,negative
तुटवडा,negative
चीड,negative
अन्याय्य,negative
विनाश,negative
घोटाळा,negative
खेद,negative
अपयशी,negative
अडचणी,negative
दहशतवादी,negative
खिन्नता,negative
खूप वाईट,negative
खराब,negative
भ्रष्टाचार,negative
त्रास,negative
भयानक,negative
दुखी,negative
विनाशकारी,negative
घटलेला,negative
दुःखी,negative
बेकार,negative
निराशा,negative
अडचण,negative
जाणे,negative
गमावले,negative
निधन,negative
मृत्यू,negative
मरण,negative
गेले,negative
शोकग्रस्त,negative
हृदयविदारक,negative
विरहाचे,negative
पश्चात्ताप,negative
ग्लानी,negative
लाज,negative
लज्जास्पद,negative
बदनामी,negative
अपमान,negative
शर्मिंदा,negative
मत्सर,negative
हेवा,negative
ईर्ष्या,negative
कंटाळा,negative
कंटाळवाणा,negative
नीरस,negative
गोंधळ,negative
अस्पष्ट,negative
संभ्रम,negative
अनिश्चित,negative
नाउमेद,negative
व्यर्थ,negative
असहाय,negative
नाकाम,negative
निष्फळ,negative
नकारात्मक,negative
निराशावाद,negative
कृतज्ञ,positive
कृतज्ञता,positive
आभार,positive
धन्यवाद,positive
सुटका,positive
दिलासा,positive
मुक्त,positive
मुक्ती,positive
स्वस्थ,positive
अद्भुत,positive
चमत्कारिक,positive
अलौकिक,positive
भव्यपणा,positive
प्रभावशाली,positive
भरवसा,positive
संधी,positive
शक्यता,positive
संतुष्ट,positive
संतोष,positive
तृप्त,positive
रोमांच,positive
जोश,positive
उत्तेजना,positive
निर्मळ,positive
संयम,positive
धैर्य,positive
उज्ज्वल,positive
संभव,positive
तळमळ,neutral
उत्कंठा,neutral
आकांक्षा,neutral
जुन्या,neutral
आठवणी,neutral
भूतकाळ,neutral
दोष,neutral
चूक,neutral
शंका,neutral
संशय,neutral
आळस,neutral
निष्क्रिय,neutral
छान,positive
बरे,positive
मजा,positive
आवडला,positive
आवडली,positive
आवडले,positive
मस्त,positive
जबरदस्त,positive
धन्य,positive
भाग्यवान,positive
कौतुक,positive
प्रशंसा,positive
स्वागत,positive
शुभेच्छा,positive
माफ,positive
क्षमा,positive
दया,positive
करुणा,positive
प्रेमळ,positive
खोटे,negative
फसवणूक,negative
धोखा,negative
विश्वासघात,negative
बेईमान,negative
निंदा,negative
तिरस्कार,negative
द्वेषपूर्ण,negative
वाईटपणा,negative
क्रूर,negative
हिंसक,negative
भयंकर,negative
भयानक,negative
घाबरवणारे,negative
धोकादायक,negative
असुरक्षित,negative
चिंता,negative
काळजी,negative
तणाव,negative
थकवा,negative
दमून,negative
